Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Eric Gordon,17.1,4.2,0.5,2.4,1.7,0.8,1.8,13.1,8.8,3.1,0.564,0.426,0.409,0.75,39,768,0.591,14.4,12.0,1.1,5.8,1.7,1.5,11.1,0.672,0.235,-0.8,-0.8,0.152,0.025,0.672,0.613,0.8,0.71,0.946,0.005,0.124
Landry Shamet,18.6,1.8,0.7,3.3,1.5,0.1,1.4,15.0,10.2,1.2,0.596,0.461,0.397,0.667,50,762,0.601,14.8,4.7,1.7,7.5,1.5,0.2,8.5,0.678,0.078,-1.9,-0.6,0.135,0.087,0.678,0.71,0.65,0.818,0.919,0.013,0.397
Svi Mykhailiuk,21.1,4.8,1.4,4.3,1.2,0.4,3.3,19.1,12.8,2.2,0.507,0.391,0.345,0.8,38,760,0.526,20.3,14.7,3.1,9.6,1.2,0.9,14.1,0.672,0.116,-1.4,-2.1,0.089,0.066,0.672,0.63,0.5,0.375,0.786,0.013,0.236
Andre Drummond,19.2,2.2,7.2,13.2,2.6,1.2,3.6,15.4,1.3,5.9,0.506,0.5,0.15,0.622,40,751,0.535,19.1,6.8,15.8,31.6,2.6,2.4,16.7,0.085,0.385,-2.4,-0.8,0.573,0.038,0.085,0.582,0.333,0.64,0.667,0.171,0.4
Micah Potter,11.0,2.1,2.9,8.2,1.0,1.0,2.1,9.2,6.7,1.4,0.537,0.422,0.316,0.85,38,705,0.563,10.3,5.8,6.6,18.4,1.0,1.9,17.7,0.726,0.148,-2.9,-0.6,0.156,0.015,0.726,0.81,0.5,0.654,1.0,0.111,0.571
Quinten Post,24.1,4.0,2.5,8.0,1.1,1.3,2.3,19.4,12.7,1.9,0.582,0.449,0.408,0.778,42,686,0.595,19.6,12.2,5.3,18.3,1.1,2.5,10.3,0.653,0.099,0.1,0.0,0.128,0.015,0.653,0.543,0.75,0.82,1.0,0.033,0.268
Tosan Evbuomwan,20.0,4.1,2.4,6.6,1.8,0.7,2.9,16.5,5.8,5.5,0.482,0.427,0.312,0.753,28,665,0.53,19.1,12.9,5.2,15.8,1.8,1.5,13.4,0.35,0.332,-3.0,-0.3,0.186,0.095,0.35,0.732,0.476,0.557,1.0,0.023,0.416
Antonio Reeves,22.4,2.9,1.3,3.3,1.5,0.3,2.2,18.2,9.5,2.6,0.558,0.456,0.395,0.8,44,660,0.579,18.8,8.8,2.9,7.6,1.5,0.6,10.2,0.52,0.141,-1.2,-2.0,0.19,0.101,0.52,0.617,0.44,0.726,0.863,0.02,0.349
Kyle Lowry,10.3,7.2,0.8,4.2,2.5,0.8,1.6,8.8,6.6,2.5,0.474,0.35,0.33,0.818,35,659,0.525,10.1,19.2,1.8,10.0,2.5,1.6,13.8,0.752,0.282,-2.8,1.5,0.051,0.034,0.752,0.667,0.75,0.667,0.931,0.0,0.182
Herbert Jones,15.3,4.9,1.6,4.2,2.8,0.7,2.6,12.9,5.4,3.0,0.5,0.436,0.306,0.825,20,648,0.541,14.6,13.8,3.6,9.6,2.8,1.3,15.6,0.419,0.233,-3.9,0.2,0.273,0.035,0.419,0.681,0.667,0.698,1.0,0.029,0.486
Maxi Kleber,7.8,3.3,1.9,5.3,0.7,1.3,1.7,7.3,3.7,1.6,0.453,0.385,0.265,0.762,34,637,0.489,8.7,8.3,4.4,11.7,0.7,2.3,17.9,0.51,0.219,-4.2,0.4,0.177,0.021,0.51,0.706,0.5,0.833,0.923,0.073,0.347
Jeff Dowtin Jr.,22.6,6.2,1.0,3.8,1.9,1.0,1.2,18.3,5.6,3.6,0.548,0.487,0.4,0.733,41,621,0.57,18.6,19.6,2.1,9.1,1.9,1.9,5.7,0.304,0.196,0.7,-0.5,0.209,0.187,0.304,0.604,0.628,0.298,0.607,0.004,0.2
Daniel Theis,12.6,4.7,3.4,9.4,1.4,1.6,1.9,10.1,2.9,2.9,0.508,0.473,0.243,0.838,38,621,0.558,11.6,13.0,7.4,21.5,1.4,3.1,14.7,0.287,0.287,-3.3,0.0,0.31,0.116,0.287,0.7,0.467,0.75,1.0,0.116,0.243
Kessler Edwards,13.4,3.3,1.8,7.4,1.5,1.6,1.3,10.7,4.3,1.0,0.578,0.496,0.407,0.923,40,608,0.597,11.1,9.1,4.0,16.3,1.5,2.8,10.2,0.4,0.096,-2.0,0.6,0.311,0.067,0.4,0.667,0.333,0.822,1.0,0.104,0.5
Ajay Mitchell,18.8,5.1,1.4,4.0,2.0,0.3,2.3,14.8,4.8,2.8,0.557,0.495,0.383,0.829,36,597,0.587,16.2,13.8,3.3,8.8,2.0,0.7,12.7,0.326,0.19,-2.5,0.9,0.217,0.065,0.326,0.625,0.833,0.397,0.957,0.005,0.267
Brandon Ingram,32.6,7.6,1.4,6.8,1.3,0.9,5.6,27.1,9.4,4.5,0.53,0.465,0.374,0.855,18,595,0.56,30.2,26.8,3.0,15.5,1.3,1.8,16.2,0.345,0.165,1.4,-1.7,0.117,0.24,0.345,0.744,0.538,0.402,0.837,0.027,0.07
Jared McCain,29.3,5.0,1.1,3.6,1.2,0.0,3.1,22.8,11.1,4.7,0.553,0.46,0.383,0.875,23,592,0.589,24.7,16.7,2.4,8.6,1.2,0.0,11.0,0.485,0.204,1.8,-1.6,0.193,0.106,0.485,0.642,0.448,0.32,0.804,0.007,0.203
